Age,Income,EmploymentType,ResidenceType,CreditScore,LoanAmount,LoanTerm,PreviousDefault,PredictedRisk
24,32000,0,1,605,18000,48,0,Medium Risk
52,78000,1,0,745,22000,36,0,Medium Risk
41,46000,0,1,590,52000,60,1,High Risk
33,68000,0,0,710,25000,36,0,Low Risk
59,90000,1,0,780,30000,24,0,Medium Risk
27,29000,0,1,610,14000,36,0,Medium Risk
47,52000,1,1,640,45000,60,1,High Risk
36,61000,0,0,725,21000,24,0,Medium Risk
31,48000,0,1,660,30000,48,0,Medium Risk
54,40000,1,1,570,55000,60,1,High Risk
38,75000,0,0,760,20000,24,0,Medium Risk
29,34000,0,1,620,19000,36,0,Medium Risk
62,88000,1,0,790,28000,24,0,Medium Risk
45,51000,0,1,635,42000,48,1,High Risk
34,69000,0,0,715,23000,36,0,Low Risk
